ModifiedDTS,ModifiedUserNM,StandardNM,DisplayNM,DescriptionTXT,RationaleTXT,CategoryDSC,AdoptionDTS,ActiveFLG,ApplyToSourceFLG,ApplyToDataMartFLG,ClientSpecificFLG,EnforcementLevelDSC,AutomationLevelDSC
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,SAM Name Must Match Schema Name,SAM Name Must Match Schema Name,The name of this schema should be identical to the name of the SAM. White spaces do not matter. This does not apply to SAMs writing to the Shared database.,"We would like it to be clear which SAM a given entity came from and is maintained by. 
This also reduces the risk of entity naming overlap within a schema, if multiple SAMs were to be writing entities to that schema.",Naming Conventions,1/1/19 0:00,FALSE,FALSE,TRUE,FALSE,Required,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,SAM Entity Dependencies Must Flow From Left To Right,SAM Entity Dependencies Must Flow From Left To Right,"SAM data should 'flow' from Events through to Summaries and Reporting Views in one-direction.  Designs that flow 'backwards' should be re-examined for necessity of such a pattern.

 - Events should only pull from outside sources/SAMs and from other Events 
 - Rules should only pull from outside sources/SAMs, Events, and other Rules 
 - Populations should only pull from outside sources/SAMs, Event, Rules and other Populations 
 - Metrics/Premetrics should only pull from outside sources/SAMs, Events, Rules, Populations and other Metrics/Premetrics 
 - Summaries can pull from everywhere, including other summaries within the SAM, with some additional guidance: 
    - All summaries should be used - intermediary summaries that are not end products should be reviewed to see if they should be broken out differently (not automated)
    - Summaries should not pull from PreMetric entities, as these are not intended to be final calculations. (not automated)",A standard concept amongst developers of how data should flow will greatly aid in generalist troubleshooting.  Most deviations from this pattern can be reconstructed correctly with no impact to performance or results.,Design Conventions,1/1/19 0:00,FALSE,FALSE,TRUE,FALSE,Best Practice,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,SAM End Point Entities Must Be Marked As Public,SAM End Point Entities Must Be Marked As Public,Marking an entity as public within a SAM allows it to be used by other SAMs.,"Since end-point entities are considered user facing for use by reports, dashboards, direct SQL, etc...It is recommended to just mark all end-point entities public right away. Rather than wait until a downstream SAM needs it, and then have to go back in and mark as public in dev (then carry forward to production). And entity must be marked as public in order to be consumable by downstream SAMs.",Design Conventions,1/1/19 0:00,TRUE,FALSE,TRUE,FALSE,Required,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,Data Mart Primary Support Documented,Data Marts Must Have Primary Support Documented In Metadata Tags,"Using the standards tags (per example below), a Primary Support person should be documented for each data mart. This person would be the go to person to triage any issues/questions that emerge for the data mart.   

****************************** 

SAM Documentation 

****************************** 

[Business Owner / SME]: 

[Primary Support Contact]:

[Secondary Support Contact]: 

******************************","As issues/questions emerge that the EDW team has to deal with, it's important to have clear contacts documented, so they know who to reach out to when specific data marts have things come up.",Metadata,1/1/19 0:00,FALSE,TRUE,TRUE,FALSE,Required,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,Non Active Data Mart Entities,Data Marts Moving To Production Should Only Contain Active Entities,Entities that don't have bindings in a status of active will not run (even if they are scheduled via EDW Console).,"To eliminate confusion with regards to production metadata, schedules, and source code. The preference is for all production data marts to only contain live entities that are ""production ready"" and will be run regularly. If non-active entities are carried forward to production, they will show up in metadata, but not run, and thus may confuse users who are going off what they see in Atlas. It also may not be clear which production entities were deliberately set to inactive due to temporary errors, vs were always in an inactive state, because they moved with other development that was ready.",Production Readiness,1/1/19 0:00,TRUE,TRUE,TRUE,FALSE,Required,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,Data Mart Business Owner Documented,Data Marts Must Have Business Owner Documented In Metadata Tags,"Using the standards tags (per example below), one or more business owner should be documented for each data mart. If this is a Shared data mart, this should specify something like ""Varies by entity."" or ""APR Wide.""  

****************************** 

SAM Documentation 

****************************** 

[Business Owner / SME]: 

[Primary Support Contact]:

[Secondary Support Contact]: 

******************************","Capturing the business owner for a given data mart is helpful in knowing who to reach out to if issues/questions emerge. As developers come and go, this will help us maintain track of who data marts originate for, and who in the business owns or can speak to the business logic.",Metadata,1/1/19 0:00,FALSE,TRUE,TRUE,FALSE,Required,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,Bindings Must Reference Views Over Tables,Bindings Must Reference Views Over Tables,"Typically a table form of an entity exists (suffixed by BASE) as well as a view (without the BASE suffix). The view should always be used instead of the table where possible. 

Note: This does not apply to IDEA sourced tables (as there is security which blocks records out of views based on underlying app access) - Either BASE or the view can be used, with a recommendation to use BASE to avoid confusion when switching between SAMD and SSMS.","It's possible that an entity may be persisted at one point in time (table + view exists), but at a future point in time it could become non-persisted (only the view exists). Always referencing the view cuts out the risk of code breaking because an entity switches to non-persisted. It also simplifies code sharing, in the event that at some point in the future a subset of users only has access to the views, and not the underlying BASE tables.",SQL Conventions,1/1/19 0:00,TRUE,FALSE,TRUE,FALSE,Required,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,End Point Entities Have Clustered Unique Index,End Point Entities Must Have Clustered Unique Index,"All end-point entities must have a primary key or clustered unique index added. For Source Mart entities this includes everything that is not a History or Raw table. For SAMs this includes Summaries and Reporting Views, as well as all entities marked Public or in a Generic Framework SAM.","In order to ensure the grain of the data is as expected, all end-point entities should have a primary key or clustered unique index added.",Design Conventions,1/1/19 0:00,TRUE,TRUE,TRUE,FALSE,Best Practice,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,Obsolete SAM Entities Must Be Deleted,Obsolete SAM Entities Must Be Deleted,"If objects exist in the SAM database, but are not tracked in metadata, they are considered obsoleted. This means at one point in time they were created via SAMD, but have since been deleted via the tool.",It is important to keep the environment clean of obsolete objects to reduce noise and avoid the risk confusion.,Environment Cleanup,1/1/19 0:00,FALSE,FALSE,TRUE,FALSE,Required,Automated
7/13/23 7:35,joshua.adkins@healthcatalyst.cloud,Last Full SAM Run Not Successful,,"When a SAM is promoted, typically we require the last full run to be successful.","If the last full run was not successful, it might indicate changes that were not fully tested or verified to be ok for production.",Production Readiness,1/1/19 0:00,TRUE,FALSE,TRUE,FALSE,Required,Automated
