Baylor Scott & White Emergency Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax ID: 26-2978009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 1/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charge Code,ChargeDescription,Revenue Code,CPT Code, Charge , Self Pay Median Charge , Minimum Reimbursment , Maximum Reimbursment , Payer , Aetna , Aetna , American Health Advantage , Ambetter , BCBS , BCBS , BCBS , BCBS , BCBS , Cigna , Cigna , Cigna , CorVel , CorVel , Employers Health Network , HealthSmart , HealthSmart , Humana , Humana , Hunt Regional , Imagine Health , Midland Memorial , MultiPlan , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Scott&White , Sedgwick , Superior , UMH , United , United , United , VA/Triwest , WellMed 
,,,,,,,, Product , Aetna , Aetna Medicare , Medicare Advantage , Ambetter Exchange ," BCBS Premier, High Performance Network EPO, MYBLUE Health ", Blue Advantage (Exchange) , City of Dallas ," HMO,City of Waco ", PPO , Cigna , Market Solutions , Cigna Healthspring , WC , Non-Sub Network Participants , Employers Health Network , HS Accel , HS Preferred Network , Humana , Medicare Adv , Hunt Regional , Imagine Health , Midland Memorial , Beechstreet , Employees , Individual/Small Group , Medicare , BSW Preferred PPO  , Preferred Plus & Premier HMO , Preferred HMO/POS & PPO , HMO PPO Broad Network , Southwest Medical , Medicare , University of Mary Hardin Baylor Employee Plan , Commercial , Medicare , NexusACO , Government , Medicare Advantage 
,,,,,,,, Product Type , Commercial , Managed Medicare , Managed Medicare , Commercial , Commercial , Commercial , Commercial , Commercial , Commercial , Commercial , Commercial , Commercial , WC , WC , Commercial , Commercial , Commercial , Commercial , Managed Medicare , Commercial , Commercial , Commercial , Commercial , Commercial , Commercial , Managed Medicare , Commercial , Commercial , Commercial , Commercial , WC , Managed Medicare , Commercial , Commercial , Managed Medicare , Commercial , Tricare , Managed Medicare 
411000001,"Inpatient Pvt R&B, per day - L1",110,N/A,"1,419.00",567.60,"2,077.00","3,704.00",,**,**,**,**,**,**,**,**,**,"2,443.00","2,077.00",**,**,**,**,**,"2,732.00","2,515.00",**,"3,704.00",**,**,"2,712.00",**,**,**,"2,216.00","2,093.00","2,339.00","2,462.00",**,**,"2,383.00",**,**,**,**,**
412000001,"Inpt Semi Pvt R&B, per day - L1",120,N/A,"1,284.00",513.60,"2,077.00","3,704.00",,**,**,**,**,**,**,**,**,**,"2,443.00","2,077.00",**,**,**,**,**,"2,732.00","2,515.00",**,"3,704.00",**,**,"2,712.00",**,**,**,"2,216.00","2,093.00","2,339.00","2,462.00",**,**,"2,383.00",**,**,**,**,**
425000003,Lidocaine 1% 20 ml inj,250,N/A,10.00,4.00,4.90,8.50,,5.50,**,**,**,**,**,**,**,**,5.80,4.90,**,**,8.50,5.50,7.50,7.50,7.00,**,5.50,5.30,6.80,7.50,**,**,**,5.20,4.90,5.50,5.80,**,**,5.80,7.00,**,6.30,**,**
425000009,Meclizine 25 mg tab,250,N/A,7.00,2.80,3.43,5.95,,3.85,**,**,**,**,**,**,**,**,4.06,3.43,**,**,5.95,3.85,5.25,5.25,4.90,**,3.85,3.71,4.76,5.25,**,**,**,3.64,3.43,3.85,4.06,**,**,4.06,4.90,**,4.41,**,**
425000010,Aspirin 325 mg tabs,250,N/A,2.00,0.80,0.98,1.70,,1.10,**,**,**,**,**,**,**,**,1.16,0.98,**,**,1.70,1.10,1.50,1.50,1.40,**,1.10,1.06,1.36,1.50,**,**,**,1.04,0.98,1.10,1.16,**,**,1.16,1.40,**,1.26,**,**
425000011,Aspirin 81 mg chew tabs,250,N/A,2.00,0.80,0.98,1.70,,1.10,**,**,**,**,**,**,**,**,1.16,0.98,**,**,1.70,1.10,1.50,1.50,1.40,**,1.10,1.06,1.36,1.50,**,**,**,1.04,0.98,1.10,1.16,**,**,1.16,1.40,**,1.26,**,**
425000012,Lidocaine (CARDIAC) 2% 5ml syr,250,J2001,25.00,10.00,12.25,21.25,,13.75,**,**,**,**,**,**,**,**,14.50,12.25,**,**,21.25,13.75,18.75,18.75,17.50,**,13.75,13.25,17.00,18.75,**,**,**,13.00,12.25,13.75,14.50,**,**,14.50,17.50,**,15.75,**,**
425000013,Lorazepam 1 mg tablet,250,N/A,9.00,3.60,4.41,7.65,,4.95,**,**,**,**,**,**,**,**,5.22,4.41,**,**,7.65,4.95,6.75,6.75,6.30,**,4.95,4.77,6.12,6.75,**,**,**,4.68,4.41,4.95,5.22,**,**,5.22,6.30,**,5.67,**,**
425000015,Ampicillin 1 gm inj,250,J0290,64.00,25.60,31.36,54.40,,35.20,**,**,**,**,**,**,**,**,37.12,31.36,**,**,54.40,35.20,48.00,48.00,44.80,**,35.20,33.92,43.52,48.00,**,**,**,33.28,31.36,35.20,37.12,**,**,37.12,44.80,**,40.32,**,**
425000016,Aplisol (Tb) test,250,N/A,179.00,71.60,87.71,152.15,,98.45,**,**,**,**,**,**,**,**,103.82,87.71,**,**,152.15,98.45,134.25,134.25,125.30,**,98.45,94.87,121.72,134.25,**,**,**,93.08,87.71,98.45,103.82,**,**,103.82,125.30,**,112.77,**,**
425000017,Sulfa/trimeth 160/800 mg tab,250,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
425000018,Diphenhist 12.5 mg/5 ml syr,250,N/A,45.00,18.00,22.05,38.25,,24.75,**,**,**,**,**,**,**,**,26.10,22.05,**,**,38.25,24.75,33.75,33.75,31.50,**,24.75,23.85,30.60,33.75,**,**,**,23.40,22.05,24.75,26.10,**,**,26.10,31.50,**,28.35,**,**
425000019,Diphenhydramine 50 mg/ml inj,250,J1200,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
425000020,Diphenhydramine 25 mg cap,250,N/A,4.00,1.60,1.96,3.40,,2.20,**,**,**,**,**,**,**,**,2.32,1.96,**,**,3.40,2.20,3.00,3.00,2.80,**,2.20,2.12,2.72,3.00,**,**,**,2.08,1.96,2.20,2.32,**,**,2.32,2.80,**,2.52,**,**
425000021,Dicyclomine 20mg/2mL inj,250,J0500,184.00,73.60,90.16,156.40,,101.20,**,**,**,**,**,**,**,**,106.72,90.16,**,**,156.40,101.20,138.00,138.00,128.80,**,101.20,97.52,125.12,138.00,**,**,**,95.68,90.16,101.20,106.72,**,**,106.72,128.80,**,115.92,**,**
425000023,"Calcium Chloride 10% 1,000mg/10mL syr",250,N/A,25.00,10.00,12.25,21.25,,13.75,**,**,**,**,**,**,**,**,14.50,12.25,**,**,21.25,13.75,18.75,18.75,17.50,**,13.75,13.25,17.00,18.75,**,**,**,13.00,12.25,13.75,14.50,**,**,14.50,17.50,**,15.75,**,**
425000024,Captopril 12.5 mg tab,250,N/A,3.00,1.20,1.47,2.55,,1.65,**,**,**,**,**,**,**,**,1.74,1.47,**,**,2.55,1.65,2.25,2.25,2.10,**,1.65,1.59,2.04,2.25,**,**,**,1.56,1.47,1.65,1.74,**,**,1.74,2.10,**,1.89,**,**
425000026,Nicardipine 25mg/10mL inj,250,N/A,312.00,124.80,152.88,265.20,,171.60,**,**,**,**,**,**,**,**,180.96,152.88,**,**,265.20,171.60,234.00,234.00,218.40,**,171.60,165.36,212.16,234.00,**,**,**,162.24,152.88,171.60,180.96,**,**,180.96,218.40,**,196.56,**,**
425000027,Lidocaine 2% jelly 30 ml,250,N/A,74.00,29.60,36.26,62.90,,40.70,**,**,**,**,**,**,**,**,42.92,36.26,**,**,62.90,40.70,55.50,55.50,51.80,**,40.70,39.22,50.32,55.50,**,**,**,38.48,36.26,40.70,42.92,**,**,42.92,51.80,**,46.62,**,**
425000028,Actidose Aqua (charcoal) 25 grams/120 ml,250,N/A,123.00,49.20,60.27,104.55,,67.65,**,**,**,**,**,**,**,**,71.34,60.27,**,**,104.55,67.65,92.25,92.25,86.10,**,67.65,65.19,83.64,92.25,**,**,**,63.96,60.27,67.65,71.34,**,**,71.34,86.10,**,77.49,**,**
425000029,Actidose w/ Sorbitol 25 grams/120 ml,250,N/A,123.00,49.20,60.27,104.55,,67.65,**,**,**,**,**,**,**,**,71.34,60.27,**,**,104.55,67.65,92.25,92.25,86.10,**,67.65,65.19,83.64,92.25,**,**,**,63.96,60.27,67.65,71.34,**,**,71.34,86.10,**,77.49,**,**
425000030,Diltiazem 25mg/5mL inj,250,N/A,16.00,6.40,7.84,13.60,,8.80,**,**,**,**,**,**,**,**,9.28,7.84,**,**,13.60,8.80,12.00,12.00,11.20,**,8.80,8.48,10.88,12.00,**,**,**,8.32,7.84,8.80,9.28,**,**,9.28,11.20,**,10.08,**,**
425000031,Ciprofloxacin 0.3% Eye Drops 2.5ml,250,N/A,117.00,46.80,57.33,99.45,,64.35,**,**,**,**,**,**,**,**,67.86,57.33,**,**,99.45,64.35,87.75,87.75,81.90,**,64.35,62.01,79.56,87.75,**,**,**,60.84,57.33,64.35,67.86,**,**,67.86,81.90,**,73.71,**,**
425000033,Ciprofloxacin 500 mg tab,250,N/A,5.00,2.00,2.45,4.25,,2.75,**,**,**,**,**,**,**,**,2.90,2.45,**,**,4.25,2.75,3.75,3.75,3.50,**,2.75,2.65,3.40,3.75,**,**,**,2.60,2.45,2.75,2.90,**,**,2.90,3.50,**,3.15,**,**
425000034,Clonidine 0.1mg tab,250,N/A,10.00,4.00,4.90,8.50,,5.50,**,**,**,**,**,**,**,**,5.80,4.90,**,**,8.50,5.50,7.50,7.50,7.00,**,5.50,5.30,6.80,7.50,**,**,**,5.20,4.90,5.50,5.80,**,**,5.80,7.00,**,6.30,**,**
425000035,Docusate Sod 100 mg cap,250,N/A,18.00,7.20,8.82,15.30,,9.90,**,**,**,**,**,**,**,**,10.44,8.82,**,**,15.30,9.90,13.50,13.50,12.60,**,9.90,9.54,12.24,13.50,**,**,**,9.36,8.82,9.90,10.44,**,**,10.44,12.60,**,11.34,**,**
425000038,Warfarin 1 mg tab,250,N/A,10.00,4.00,4.90,8.50,,5.50,**,**,**,**,**,**,**,**,5.80,4.90,**,**,8.50,5.50,7.50,7.50,7.00,**,5.50,5.30,6.80,7.50,**,**,**,5.20,4.90,5.50,5.80,**,**,5.80,7.00,**,6.30,**,**
425000039,Famotidine 20mg/2mL inj,250,N/A,13.00,5.20,6.37,11.05,,7.15,**,**,**,**,**,**,**,**,7.54,6.37,**,**,11.05,7.15,9.75,9.75,9.10,**,7.15,6.89,8.84,9.75,**,**,**,6.76,6.37,7.15,7.54,**,**,7.54,9.10,**,8.19,**,**
425000040,Marcaine .25% w/EPI 30 ml inj,250,N/A,40.00,16.00,19.60,34.00,,22.00,**,**,**,**,**,**,**,**,23.20,19.60,**,**,34.00,22.00,30.00,30.00,28.00,**,22.00,21.20,27.20,30.00,**,**,**,20.80,19.60,22.00,23.20,**,**,23.20,28.00,**,25.20,**,**
425000041,Metronidazole 500 mg IV,250,N/A,233.00,93.20,114.17,198.05,,128.15,**,**,**,**,**,**,**,**,135.14,114.17,**,**,198.05,128.15,174.75,174.75,163.10,**,128.15,123.49,158.44,174.75,**,**,**,121.16,114.17,128.15,135.14,**,**,135.14,163.10,**,146.79,**,**
425000042,Marcaine .5% 10 ml inj,250,N/A,49.00,19.60,24.01,41.65,,26.95,**,**,**,**,**,**,**,**,28.42,24.01,**,**,41.65,26.95,36.75,36.75,34.30,**,26.95,25.97,33.32,36.75,**,**,**,25.48,24.01,26.95,28.42,**,**,28.42,34.30,**,30.87,**,**
425000043,Octreotide (Sandostatin) 50 mCg/ml inj amp,250,J2353,63.00,25.20,30.87,379.45,,34.65,202.91,213.06,379.45,**,**,**,**,**,36.54,30.87,213.06,53.55,53.55,34.65,47.25,47.25,44.10,202.91,34.65,33.39,42.84,47.25,**,334.81,202.91,32.76,30.87,34.65,36.54,63.00,213.06,36.54,44.10,202.91,39.69,202.91,202.91
425000046,Ammonia inhalant,250,N/A,6.00,2.40,2.94,5.10,,3.30,**,**,**,**,**,**,**,**,3.48,2.94,**,**,5.10,3.30,4.50,4.50,4.20,**,3.30,3.18,4.08,4.50,**,**,**,3.12,2.94,3.30,3.48,**,**,3.48,4.20,**,3.78,**,**
425000051,Dextrose 50% syr 50 ml,250,N/A,42.00,16.80,20.58,35.70,,23.10,**,**,**,**,**,**,**,**,24.36,20.58,**,**,35.70,23.10,31.50,31.50,29.40,**,23.10,22.26,28.56,31.50,**,**,**,21.84,20.58,23.10,24.36,**,**,24.36,29.40,**,26.46,**,**
425000052,Dextrose 25% syr 10 ml,250,N/A,22.00,8.80,10.78,18.70,,12.10,**,**,**,**,**,**,**,**,12.76,10.78,**,**,18.70,12.10,16.50,16.50,15.40,**,12.10,11.66,14.96,16.50,**,**,**,11.44,10.78,12.10,12.76,**,**,12.76,15.40,**,13.86,**,**
425000056,Donnatal (16.2/5 mg) Elixir,250,N/A,277.00,110.80,135.73,235.45,,152.35,**,**,**,**,**,**,**,**,160.66,135.73,**,**,235.45,152.35,207.75,207.75,193.90,**,152.35,146.81,188.36,207.75,**,**,**,144.04,135.73,152.35,160.66,**,**,160.66,193.90,**,174.51,**,**
425000059,"Epinephrine 1:10,000 inj syringe",250,J0171,21.00,8.40,10.29,17.85,,11.55,**,**,**,**,**,**,**,**,12.18,10.29,**,**,17.85,11.55,15.75,15.75,14.70,**,11.55,11.13,14.28,15.75,**,**,**,10.92,10.29,11.55,12.18,**,**,12.18,14.70,**,13.23,**,**
425000061,Enalaprilat 1.25mg/ml inj,250,N/A,17.00,6.80,8.33,14.45,,9.35,**,**,**,**,**,**,**,**,9.86,8.33,**,**,14.45,9.35,12.75,12.75,11.90,**,9.35,9.01,11.56,12.75,**,**,**,8.84,8.33,9.35,9.86,**,**,9.86,11.90,**,10.71,**,**
425000062,Epinephrine 1:1000 inj 1 ml,250,J0171,22.00,8.80,10.78,18.70,,12.10,**,**,**,**,**,**,**,**,12.76,10.78,**,**,18.70,12.10,16.50,16.50,15.40,**,12.10,11.66,14.96,16.50,**,**,**,11.44,10.78,12.10,12.76,**,**,12.76,15.40,**,13.86,**,**
425000063,Erythromycin eye ointment,250,N/A,116.00,46.40,56.84,98.60,,63.80,**,**,**,**,**,**,**,**,67.28,56.84,**,**,98.60,63.80,87.00,87.00,81.20,**,63.80,61.48,78.88,87.00,**,**,**,60.32,56.84,63.80,67.28,**,**,67.28,81.20,**,73.08,**,**
425000064,Etomidate 20mg/10mL inj,250,N/A,97.00,38.80,47.53,82.45,,53.35,**,**,**,**,**,**,**,**,56.26,47.53,**,**,82.45,53.35,72.75,72.75,67.90,**,53.35,51.41,65.96,72.75,**,**,**,50.44,47.53,53.35,56.26,**,**,56.26,67.90,**,61.11,**,**
